Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
1996;Neto migracija;Jonavos r. sav.;asmenys;206
1997;Neto migracija;Jonavos r. sav.;asmenys;-78
1998;Neto migracija;Jonavos r. sav.;asmenys;-15
1999;Neto migracija;Jonavos r. sav.;asmenys;65
2000;Neto migracija;Jonavos r. sav.;asmenys;-152
2001;Neto migracija;Jonavos r. sav.;asmenys;-225
2002;Neto migracija;Jonavos r. sav.;asmenys;-198
2003;Neto migracija;Jonavos r. sav.;asmenys;-95
2004;Neto migracija;Jonavos r. sav.;asmenys;-190
2005;Neto migracija;Jonavos r. sav.;asmenys;-776
2006;Neto migracija;Jonavos r. sav.;asmenys;-612
2007;Neto migracija;Jonavos r. sav.;asmenys;-316
2008;Neto migracija;Jonavos r. sav.;asmenys;-156
2009;Neto migracija;Jonavos r. sav.;asmenys;-595
2010;Neto migracija;Jonavos r. sav.;asmenys;-1234
2011;Neto migracija;Jonavos r. sav.;asmenys;-806
2012;Neto migracija;Jonavos r. sav.;asmenys;-452
2013;Neto migracija;Jonavos r. sav.;asmenys;-406
2014;Neto migracija;Jonavos r. sav.;asmenys;-441
2015;Neto migracija;Jonavos r. sav.;asmenys;-529
2016;Neto migracija;Jonavos r. sav.;asmenys;-416
2017;Neto migracija;Jonavos r. sav.;asmenys;-305
2018;Neto migracija;Jonavos r. sav.;asmenys;-181
1990;Neto migracija;Kaišiadorių r. sav.;asmenys;
1991;Neto migracija;Kaišiadorių r. sav.;asmenys;
1992;Neto migracija;Kaišiadorių r. sav.;asmenys;
1993;Neto migracija;Kaišiadorių r. sav.;asmenys;
1994;Neto migracija;Kaišiadorių r. sav.;asmenys;50
1995;Neto migracija;Kaišiadorių r. sav.;asmenys;5
1996;Neto migracija;Kaišiadorių r. sav.;asmenys;162
1997;Neto migracija;Kaišiadorių r. sav.;asmenys;-17
1998;Neto migracija;Kaišiadorių r. sav.;asmenys;29
1999;Neto migracija;Kaišiadorių r. sav.;asmenys;123
2000;Neto migracija;Kaišiadorių r. sav.;asmenys;179
2001;Neto migracija;Kaišiadorių r. sav.;asmenys;-49
2002;Neto migracija;Kaišiadorių r. sav.;asmenys;118
2003;Neto migracija;Kaišiadorių r. sav.;asmenys;-95
2004;Neto migracija;Kaišiadorių r. sav.;asmenys;-147
2005;Neto migracija;Kaišiadorių r. sav.;asmenys;-255
2006;Neto migracija;Kaišiadorių r. sav.;asmenys;41
2007;Neto migracija;Kaišiadorių r. sav.;asmenys;-113
2008;Neto migracija;Kaišiadorių r. sav.;asmenys;-130
2009;Neto migracija;Kaišiadorių r. sav.;asmenys;-175
2010;Neto migracija;Kaišiadorių r. sav.;asmenys;-631
2011;Neto migracija;Kaišiadorių r. sav.;asmenys;-294
2012;Neto migracija;Kaišiadorių r. sav.;asmenys;-245
