Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2014;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;56357
2015;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;55614
2016;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;54431
2017;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;52792
2018;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;51534
2019;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus m. sav.;Miestas ir kaimas;asmenys;50422
1996;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;32647
1997;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;32736
1998;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;32910
1999;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;32852
2000;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;32722
2001;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;32644
2002;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;32255
2003;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;31828
2004;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;31741
2005;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;31415
2006;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;30786
2007;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;30281
2008;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;29773
2009;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;29441
2010;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;29052
2011;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;28210
2012;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;27960
2013;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;27618
2014;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;27347
2015;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;27126
2016;Nuolatinių gyventojų skaičius metų pradžioje;Alytaus r. sav.;Miestas ir kaimas;asmenys;26831
