Laikotarpis;Rodiklis;Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP);Gyvenamoji vietovė;Vartojimo išlaidos;Matavimo vienetai;Reikšmė
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;17.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;19.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;24.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;22.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;17.8
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas;Piniginės ir natūrinės išlaidos;EUR;21.9
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;22.1
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;21.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;24.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;26.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;30.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;33.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;51.9
