Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1140
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1132
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1131
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1126
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1125
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1118
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1115
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Trakų r. sav.;Iš viso pagal amžių;asmenys;1106
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Ukmergės r. sav.;Iš viso pagal amžių;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Ukmergės r. sav.;Iš viso pagal amžių;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Ukmergės r. sav.;Iš viso pagal amžių;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Ukmergės r. sav.;Iš viso pagal amžių;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Ukmergės r. sav.;Iš viso pagal amžių;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Ukmergės r. sav.;Iš viso pagal amžių;asmenys;1136
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Ukmergės r. sav.;Iš viso pagal amžių;asmenys;1142
