Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;20.2
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;16.9
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;14.6
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;12.8
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;11.0
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;9.9
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;8.9
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;8.2
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Vilniaus r. sav.;proc.;8.7
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;5.0
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;4.9
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;6.1
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;9.4
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;10.8
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;8.4
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;7.6
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;7.1
