;neighbourhood;street;municipality;houses;str_type
292;Antakalnis;Rudausių Sodų 11-oji g. ;Vilnius;16;Sodas
293;Antakalnis;Rudausių Sodų 12-oji g. ;Vilnius;10;Sodas
294;Antakalnis;Rudausių Sodų 13-oji g. ;Vilnius;12;Sodas
295;Antakalnis;Rudausių Sodų 2-oji g. ;Vilnius;6;Sodas
296;Antakalnis;Rudausių Sodų 3-ioji g. ;Vilnius;14;Sodas
297;Antakalnis;Rudausių Sodų 4-oji g. ;Vilnius;16;Sodas
298;Antakalnis;Rudausių Sodų 5-oji g. ;Vilnius;30;Sodas
299;Antakalnis;Rudausių Sodų 6-oji g. ;Vilnius;17;Sodas
300;Antakalnis;Rudausių Sodų 7-oji g. ;Vilnius;23;Sodas
301;Antakalnis;Rudausių Sodų 8-oji g. ;Vilnius;18;Sodas
302;Antakalnis;Rudausių Sodų 9-oji g. ;Vilnius;9;Sodas
303;Antakalnis;Rudens g. ;Vilnius;35 iš 66;Kitas
304;Antakalnis;Rukeliškių g. ;Vilnius;39;Kitas
305;Antakalnis;Rūtų g. ;Vilnius;25;Kitas
306;Antakalnis;S. B. Jundzilo g. ;Vilnius;60;Kitas
307;Antakalnis;Sadūniškių g. ;Vilnius;70;Kitas
308;Antakalnis;Samanų g. ;Vilnius;15;Kitas
309;Antakalnis;Saulės g. ;Vilnius;46;Kitas
310;Antakalnis;Saulėtekio al. ;Vilnius;73;Kitas
311;Antakalnis;Skaisterių g. ;Vilnius;29;Kitas
312;Antakalnis;Skarbelio g. ;Vilnius;10;Kitas
313;Antakalnis;Skarbelio Sodų 1-oji g. ;Vilnius;17;Sodas
314;Antakalnis;Skarbelio Sodų 2-oji g. ;Vilnius;13;Sodas
315;Antakalnis;Skarbelio Sodų 3-ioji g. ;Vilnius;5;Sodas
316;Antakalnis;Smėlynės Sodų g. ;Vilnius;40;Sodas
317;Antakalnis;Smėlynės Sodų 1-oji g. ;Vilnius;21;Sodas
318;Antakalnis;Smėlynės Sodų 2-oji g. ;Vilnius;4;Sodas
319;Antakalnis;Smėlynės Sodų 3-ioji g. ;Vilnius;16;Sodas
